Date,Sampling event,Pasture,Treat,Exclosure,Rep,F1T Crown Tillers,F2T Crown Tillers,F3T Crown Tillers,F1S Stolon Tillers,F2S Stolon Tillers,Total Stolon #,Total Tiller #,Total Length of stolon (cm),F1T CW Bud/core (0.007805m^2),F2T CW Bud/core (0.007805m^2),F3T CW Bud/core (0.007805m^2),Tot CW Buds/core (0.00785 cm^2),F1T ST Bud/core (0.007805m^2),F2T ST Bud/core (0.007805m^2),F3T ST Bud/core (0.007805m^2),Tot ST Buds (0.00785 cm^2),Grand total buds/core (0.00785 mc^2),F1T CW Bud/0.1m2,F2T CW Bud/0.1m2,F3T CW Bud/ (0.1m2),Tot CW Buds/0.1m2,F1T ST Bud/0.1m2,F2T ST Bud/0.1m2,F3T ST Bud/0.1^2,Tot ST Buds/0.1 m2,Grand total buds/0.1 m2,%CWB,%STB,%F1CWB,%F2CWB,%F3CWB,%F1STB,%F2STB,%combF1B,%comF2B,%comF3B,#F1CWT/0.1m2,#F2CWT/0.1m2,#F3CWT/0.1m2,# Tot CWT/0.1m2,#F1STT/0.1m2,#F2STT/0.1m2,# Tot STT/0.1m2,TotTIller/0.1m2,% of CWT,%of STT,%F1CWT,%F2CWT,%F3CWT,%F1STT,%F2STT,%combF1T,%comF2T,%comF3T,# Tot ST/0.1m2,totSTlg cm/0.1m2
 July 2,2,6,CG,2,2,28,7,,1,,3,36,16,42,7,,49,0,,,0,49,535.03,89.17,0,624.2,0,0,,0,624.2,100,0,85.71,14.29,0,,,85.71,14.29,0,356.69,89.17,0,445.86,12.74,0,12.74,458.6,97.22,2.78,80,20,0,100,0,80.56,19.44,0,38.22,203.82
 July 2,2,6,CG,3,3,23,4,,1,1,6,29,22.8,57.5,2,,59.5,0,0,,0,59.5,732.48,25.48,0,757.96,0,0,,0,757.96,100,0,96.64,3.36,0,,,96.64,3.36,0,292.99,50.96,0,343.95,12.74,12.74,25.48,369.43,93.1,6.9,85.19,14.81,0,50,50,82.76,17.24,0,76.43,290.45
 July 2,2,6,CG,4,4,42,7,1,6,1,17,57,82.6,105,0,0,105,12,1,,13,118,1337.58,0,0,1337.58,152.87,1.27,,154.14,1491.72,89.67,10.33,100,0,0,99.17,0.83,99.91,0.09,0,535.03,89.17,12.74,636.94,76.43,12.74,89.17,726.11,87.72,12.28,84,14,2,85.71,14.29,84.21,14.04,1.75,216.56,1052.23
 July 2,2,6,CG,5,5,31,5,,13,,12,49,63.3,124,5,,129,26,,,26,155,1579.62,63.69,0,1643.31,331.21,0,,331.21,1974.52,83.23,16.77,96.12,3.88,0,100,0,96.77,3.23,0,394.9,63.69,0,458.6,165.61,0,165.61,624.2,73.47,26.53,86.11,13.89,0,100,0,89.8,10.2,0,152.87,806.37
 July 29,3,3,CG,1,1,9,2,,2,1,2,14,5.9,9,0,,9,0,0,,0,9,114.65,0,0,114.65,0,0,,0,114.65,100,0,100,0,0,,,100,0,0,114.65,25.48,0,140.13,25.48,12.74,38.22,178.34,78.57,21.43,81.82,18.18,0,66.67,33.33,78.57,21.43,0,25.48,75.16
 July 29,3,3,CG,2,2,20,4,,6,1,6,31,30.9,20,2,,22,0,0,,0,22,254.78,25.48,0,280.25,0,0,,0,280.25,100,0,90.91,9.09,0,,,90.91,9.09,0,254.78,50.96,0,305.73,76.43,12.74,89.17,394.9,77.42,22.58,83.33,16.67,0,85.71,14.29,83.87,16.13,0,76.43,393.63
 July 29,3,3,CG,3,3,20,6,,1,,1,27,2.8,30,6,,36,0,,,0,36,382.17,76.43,0,458.6,0,0,,0,458.6,100,0,83.33,16.67,0,,,83.33,16.67,0,254.78,76.43,0,331.21,12.74,0,12.74,343.95,96.3,3.7,76.92,23.08,0,100,0,77.78,22.22,0,12.74,35.67
 July 29,3,3,CG,4,4,39,4,,,,2,43,4.1,78,2,,80,,,,0,80,993.63,25.48,0,1019.11,0,0,,0,1019.11,100,0,97.5,2.5,0,,,97.5,2.5,0,496.82,50.96,0,547.77,0,0,0,547.77,100,0,90.7,9.3,0,,,90.7,9.3,0,25.48,52.23
 July 29,3,3,CG,5,5,9,1,,3,,5,13,20.6,27,0,,27,0,,,0,27,343.95,0,0,343.95,0,0,,0,343.95,100,0,100,0,0,,,100,0,0,114.65,12.74,0,127.39,38.22,0,38.22,165.61,76.92,23.08,90,10,0,100,0,92.31,7.69,0,63.69,262.42
 July 29,3,5,CG,1,1,26,2,,,,,28,,65,0,,65,,,,0,65,828.03,0,0,828.03,0,0,,0,828.03,100,0,100,0,0,,,100,0,0,331.21,25.48,0,356.69,0,0,0,356.69,100,0,92.86,7.14,0,,,92.86,7.14,0,0,0
